Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.46,1.46,2.64,-3.01,173.71,126.28,118.49,118.49
7-12 game split,8.1,1.72,2.93,-3.75,176.6,119.68,110.93,110.93
13-18 game split,10.61,1.59,3.24,-4.21,163.19,111.61,106.46,104.63
