Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.08,1.96,2.8,-3.52,194.97,121.94,96.8,96.8
7-12 game split,6.78,2.26,2.87,-3.43,182.4,86.63,93.07,95.22
13-18 game split,6.03,1.99,2.6,-3.32,177.66,126.53,105.42,100.1
19-24 game split,7.05,1.87,3.04,-2.93,183.17,145.39,126.93,122.76
25-25 game split,9.63,2.08,3.25,-2.56,191.9,83.85,119.12,119.12
