Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,12.51,1.86,3.02,-3.72,193.09,133.39,121.8,116.46
7-12 game split,11.71,1.69,2.85,-3.87,193.96,128.18,113.67,108.31
13-18 game split,6.86,1.54,2.19,-2.86,190.72,120.62,126.2,118.79
19-24 game split,10.7,1.57,2.89,-3.63,188.85,136.22,128.39,124.59
25-28 game split,8.16,1.81,2.71,-3.64,192.6,135.57,124.02,111.87
