Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,,,,,176.24,112.9,103.46,102.18
7-12 game split,,,,,168.2,114.03,104.72,104.56
13-18 game split,,,,,167.23,108.36,100.65,94.72
19-24 game split,,,,,173.6,115.58,108.67,108.67
25-30 game split,,,,,164.69,118.12,111.82,108.5
31-36 game split,,,,,164.24,121.24,105.84,104.36
37-42 game split,,,,,171.61,116.17,103.82,99.83
43-48 game split,,,,,163.03,100.83,106.22,100.14
