Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.68,1.93,3.14,-3.93,202.22,133.98,128.43,124.42
7-12 game split,10.36,1.75,3.19,-3.72,201.69,120.53,130.15,130.15
13-18 game split,9.99,1.64,3.03,-3.54,203.09,121.14,118.48,112.81
19-24 game split,10.93,2.06,3.51,-4.07,201.79,119.81,124.36,118.18
25-30 game split,10.19,2.19,2.95,-4.33,208.9,131.08,117.63,108.39
