match_id,point_duration_time_x,SET_GAME_POINT,rally_length,PLAYER_WIN_NAME,server_name
United_Cup_2023_RR_Haddad_Maia_Helgo,15.109217972488404,1_10_5,10,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad-Maia_Trevisan,19.728798983657835,1_6_6,11,TREVISAN,HADDAD MAIA
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,24.676784023316955,2_8_10,17,HADDAD MAIA,RADUCANU
Rome_2023_R16_Osorio_Haddad-Maia,17.929,2_9_3,10,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,14.430175971595764,3_8_5,11,OSTAPENKO,HADDAD MAIA
US_Open_2023_1st_Stephens_Haddad-Maia,22.035,2_1_12,16,STEPHENS,STEPHENS
US_Open_2023_R64_Townsend_Haddad-Maia,15.419,2_9_4,12,HADDAD MAIA,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,21.7967179296875,2_1_5,15,MARTINCOVA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,20.68981099243164,1_7_3,15,SINIAKOVA,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,20.01,3_10_2,12,HADDAD MAIA,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,31.76924509782562,1_13_11,20,HADDAD MAIA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,21.18556303237915,1_10_1,16,PARRIZAS DIAZ,PARRIZAS DIAZ
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,19.95670902571106,1_12_4,13,PARRIZAS DIAZ,PARRIZAS DIAZ
Cincinnati_2023_R64_Muchova_Haddad-Maia,19.536,3_10_8,12,MUCHOVA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,25.469,1_10_6,17,ANDREEVA,HADDAD MAIA
United_Cup_2023_RR_Haddad-Maia_Trevisan,15.705041934684754,2_5_5,11,HADDAD MAIA,TREVISAN
US_Open_2023_1st_Stephens_Haddad-Maia,21.545,2_8_6,16,HADDAD MAIA,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,31.286526081451417,2_8_6,21,BADOSA,BADOSA
Rome_2023_R16_Osorio_Haddad-Maia,17.683,1_4_3,10,OSORIO,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,14.951601063890076,1_2_6,8,HADDAD MAIA,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,15.304,2_3_2,11,TOWNSEND,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,20.194537999420167,1_4_5,13,MARTINCOVA,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,25.696,2_1_6,19,KALININA,KALININA
