Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,6,50%,33%
1st,Deuce,Non-Slice,11,63%,28%
1st,Ad,Slice,4,100%,0%
1st,Ad,Non-Slice,11,72%,0%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,10,70%,71%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,8,100%,87%
