Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.01,1.96,3.45,-3.88,192.49,129.69,122.85,119.13
7-12 game split,6.74,2.01,3.36,-4.53,190.66,127.52,104.68,102.79
13-18 game split,9.2,1.9,3.41,-3.66,186.12,132.2,121.27,110.17
19-24 game split,13.34,1.94,3.26,-3.71,195.1,138.17,123.19,114.85
25-30 game split,6.69,1.78,3.23,-3.54,202.03,133.7,126.47,114.9
31-35 game split,10.52,2.01,3.14,-3.62,193.95,120.69,123.47,117.04
