Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,5,80%,0%
1st,Deuce,Non-Slice,24,75%,61%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,22,77%,52%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,18,83%,60%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,16,81%,84%
