Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,1,100%,0%
1st,Deuce,Non-Slice,10,90%,77%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,12,91%,63%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,11,90%,30%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,8,87%,57%
