Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,100%,0%
1st,Deuce,Non-Slice,20,60%,50%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,21,66%,50%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,21,100%,76%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,21,80%,52%
