Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.57,1.81,3.6,-4.13,198.07,109.3,120.71,116.7
7-12 game split,10.42,2.26,3.42,-4.48,201.79,108.69,118.12,102.6
13-18 game split,8.97,2.2,3.44,-4.2,204.22,109.73,120.27,100.57
19-20 game split,13.16,2.72,4.27,-4.11,195.45,119.55,131.27,99.68
