Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,50%,0%
1st,Deuce,Non-Slice,20,80%,56%
1st,Ad,Slice,3,66%,0%
1st,Ad,Non-Slice,19,78%,40%
2nd,Deuce,Slice,1,100%,0%
2nd,Deuce,Non-Slice,13,84%,45%
2nd,Ad,Slice,1,100%,0%
2nd,Ad,Non-Slice,14,92%,69%
