Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,13.22,1.99,3.23,-4.04,214.13,122.08,110.8,108.16
7-12 game split,8.85,1.95,2.72,-3.4,210.15,133.47,124.71,124.71
13-18 game split,9.37,1.82,2.8,-3.37,211.04,116.21,121.8,119.47
19-24 game split,15.12,1.99,3.14,-4.15,208.28,115.28,114.4,114.4
25-29 game split,18.11,1.82,3.27,-3.82,210.02,114.58,119.1,116.81
