Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.1,2.5,16.94,-16.21,136.62,120.25,115.85,116.15
7-12 game split,8.6,2.09,18.85,-18.23,151.16,126.92,110.51,110.51
13-18 game split,10.28,2.39,17.57,-18.44,142.75,126.45,122.23,121.07
