Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,100%,50%
1st,Deuce,Non-Slice,23,86%,60%
1st,Ad,Slice,2,100%,50%
1st,Ad,Non-Slice,23,78%,55%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,11,90%,10%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,9,66%,50%
