Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,13.7,1.86,3.5,-4.28,193.84,121.71,118.19,116.05
7-12 game split,9.79,2.13,3.42,-4.18,182.02,129.09,116.48,110.09
13-17 game split,12.3,1.83,3.6,-4.66,175.46,127.55,122.51,117.99
