Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.15,1.99,2.88,-3.48,207.8,140.43,114.85,108.43
7-12 game split,9.22,2.1,3.24,-3.49,212.58,119.1,114.99,101.98
13-18 game split,7.09,2.3,3.59,-3.6,208.05,93.43,105.92,89.84
19-24 game split,8.63,2.26,2.82,-3.33,211.85,130.38,145.96,112.23
25-30 game split,6.34,2.09,2.99,-3.15,212.25,121.98,115.1,79.01
31-35 game split,6.83,2.01,3.04,-3.78,216.44,118.05,126.61,126.61
