Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,10,70%,28%
1st,Deuce,Non-Slice,10,70%,14%
1st,Ad,Slice,11,90%,40%
1st,Ad,Non-Slice,10,60%,50%
2nd,Deuce,Slice,6,100%,100%
2nd,Deuce,Non-Slice,12,83%,40%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,13,76%,70%
