Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.42,1.96,4.28,-5.39,172.29,111.07,110.56,110.56
7-12 game split,13.49,2.08,4.43,-5.46,165.72,113.86,94.02,99.47
13-18 game split,14.81,1.84,5.05,-5.54,160.03,118.79,107.95,105.95
19-24 game split,16.36,1.82,4.58,-5.57,167.89,117.58,108.56,108.56
