Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,13.32,1.81,3.25,-3.72,195.2,136.67,123.82,115.06
7-12 game split,9.68,1.82,2.89,-3.35,179.42,127.22,125.14,125.14
13-17 game split,10.44,1.8,2.82,-3.47,184.68,128.47,127.43,122.48
