Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
6-20 game split,13.82,1.84,3.38,-4.22,192.89,125.28,115.68,107.35
1-18 game split,12.44,1.87,3.4,-4.15,194.13,124.61,113.9,106.91
3-17 game split,12.36,1.86,3.37,-4.13,193.93,124.67,113.45,107.73
11-21 game split,12.75,1.79,3.34,-4.36,194.87,127.57,117.82,110.13
