Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.17,1.95,3.81,-4.11,201.77,126.07,122.47,118.33
7-12 game split,10.73,1.89,3.0,-3.73,197.76,128.88,115.84,109.51
13-18 game split,9.81,2.14,3.36,-4.01,200.5,128.29,107.1,103.49
