Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,16,93%,43%,46%
1st,Ad,Up,0,NO DATA,NO DATA,NO DATA
1st,Ad,Middle,9,100%,22%,22%
1st,Ad,Back,15,80%,60%,75%
2nd,Deuce,Up,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,28,96%,57%,59%
2nd,Ad,Up,15,66%,46%,70%
2nd,Ad,Middle,1,100%,0%,0%
2nd,Ad,Back,4,100%,25%,25%
