Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,10.75,2.07,3.44,-4.32,159.34,99.09,95.22,83.63
7-12 game split,13.84,1.94,3.14,-4.47,170.38,99.22,99.4,96.59
13-18 game split,14.62,1.98,3.24,-4.41,162.4,91.9,95.36,91.49
19-24 game split,16.46,1.95,2.87,-4.27,157.98,90.16,97.65,90.94
25-28 game split,10.12,1.69,3.04,-3.59,156.51,89.4,103.92,91.99
