Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,100%,0%
1st,Deuce,Non-Slice,23,86%,65%
1st,Ad,Slice,3,100%,66%
1st,Ad,Non-Slice,23,86%,55%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,7,71%,80%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,2,100%,50%
