Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.2,2.1,2.91,-3.01,198.61,128.97,124.83,102.4
7-12 game split,10.9,2.14,2.9,-3.42,201.97,127.95,126.29,102.24
13-18 game split,10.18,2.15,3.48,-3.98,191.7,120.51,125.31,90.03
19-24 game split,11.44,2.36,3.01,-4.38,196.9,117.81,100.45,88.72
25-30 game split,11.51,2.15,3.48,-3.96,192.66,125.42,104.3,98.95
31-31 game split,10.77,2.35,3.0,-4.71,,111.32,,77.0
