Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,14.12,1.88,4.91,-6.29,211.78,119.11,122.95,115.05
7-12 game split,16.76,1.96,4.96,-6.3,211.78,122.49,121.05,112.38
13-18 game split,15.46,2.0,4.85,-6.23,208.55,113.21,114.07,103.11
19-24 game split,13.07,2.01,4.75,-6.71,210.87,118.9,112.86,100.15
25-30 game split,17.4,1.84,5.06,-6.62,210.81,109.6,120.89,118.43
31-32 game split,11.78,2.36,5.7,-7.15,204.01,113.02,105.32,102.35
