Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,10.15,2.31,3.42,-4.6,200.33,126.22,125.66,98.32
7-12 game split,8.64,1.8,3.1,-3.51,196.96,105.83,120.18,109.77
13-18 game split,13.38,1.85,3.34,-4.08,194.44,128.22,114.87,101.63
19-24 game split,10.99,1.88,3.06,-3.28,191.77,123.72,126.47,120.85
25-30 game split,9.18,1.77,2.83,-3.42,197.45,134.94,116.45,104.02
