Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.13,1.84,2.83,-3.18,182.19,109.48,96.81,95.02
7-12 game split,9.2,1.99,2.75,-3.6,186.24,118.7,118.67,111.59
13-18 game split,7.22,1.75,2.57,-3.3,183.05,126.88,119.6,105.75
19-24 game split,9.35,1.74,2.61,-3.49,180.43,127.07,113.07,96.61
25-30 game split,7.79,2.07,2.38,-3.46,183.97,107.87,46.7,69.09
31-33 game split,11.03,1.85,2.6,-2.91,176.67,120.46,114.35,99.36
