Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,7,85%,16%
1st,Deuce,Non-Slice,21,90%,52%
1st,Ad,Slice,3,66%,50%
1st,Ad,Non-Slice,16,87%,21%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,11,90%,40%
2nd,Ad,Slice,1,100%,100%
2nd,Ad,Non-Slice,15,86%,61%
