Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,33%,100%
1st,Deuce,Non-Slice,30,86%,46%
1st,Ad,Slice,4,75%,66%
1st,Ad,Non-Slice,27,85%,43%
2nd,Deuce,Slice,1,0%,NO DATA
2nd,Deuce,Non-Slice,20,85%,47%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,19,89%,47%
