Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.9,1.75,2.73,-3.25,193.77,121.81,123.62,119.97
7-12 game split,10.29,1.81,3.15,-3.49,195.57,124.42,124.26,108.9
13-17 game split,8.36,1.75,2.72,-3.03,198.39,128.39,112.46,115.37
