Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.32,1.89,3.31,-3.69,198.01,127.5,116.46,102.19
7-12 game split,11.38,2.18,3.42,-4.05,197.41,125.52,100.92,97.5
13-18 game split,9.58,2.15,3.29,-3.22,196.52,144.66,123.88,116.42
19-24 game split,7.67,2.01,3.59,-3.34,201.82,122.09,122.73,116.26
25-25 game split,9.71,2.44,3.0,-4.13,,117.26,108.85,108.85
