Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,1,100%,100%
1st,Deuce,Non-Slice,25,64%,68%
1st,Ad,Slice,1,0%,NO DATA
1st,Ad,Non-Slice,26,61%,62%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,19,78%,60%
2nd,Ad,Slice,1,0%,NO DATA
2nd,Ad,Non-Slice,16,93%,33%
