Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,14.81,2.4,5.33,-6.3,205.96,121.0,128.45,115.42
7-12 game split,11.69,2.1,4.72,-5.46,205.37,123.01,122.97,118.99
13-18 game split,11.75,2.24,4.47,-5.45,209.22,130.7,119.38,93.92
19-22 game split,14.12,2.18,4.69,-5.95,206.46,120.48,125.4,101.27
