Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,100%,0%
1st,Deuce,Non-Slice,13,84%,54%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,16,87%,57%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,16,87%,57%
2nd,Ad,Slice,1,100%,0%
2nd,Ad,Non-Slice,13,69%,55%
