Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,12.04,2.1,4.98,-5.62,211.62,131.97,118.21,118.0
7-12 game split,12.62,2.08,4.81,-6.02,199.41,131.26,124.71,121.64
13-18 game split,11.73,2.18,4.5,-6.11,206.01,131.91,123.57,106.9
19-24 game split,13.75,2.32,4.87,-5.93,204.07,129.69,122.81,113.37
25-28 game split,13.22,2.26,5.22,-6.09,200.94,136.3,124.65,110.51
