Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.08,2.36,2.09,-2.53,190.4,99.22,100.14,73.09
7-12 game split,5.87,2.12,2.09,-2.66,191.56,88.47,,86.02
13-18 game split,6.45,2.15,2.18,-2.67,192.93,103.67,89.57,81.57
19-24 game split,7.12,2.13,2.36,-2.67,199.48,104.68,118.57,94.21
25-30 game split,7.18,2.32,2.25,-2.54,186.72,95.88,104.45,95.45
31-35 game split,7.42,2.03,2.38,-2.56,202.22,108.75,44.48,51.7
