Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.31,2.05,3.33,-4.04,201.29,130.2,107.74,92.81
7-12 game split,9.72,2.06,2.98,-3.81,185.69,98.84,129.27,111.85
13-18 game split,7.84,1.92,2.98,-4.4,194.94,146.08,124.48,105.45
19-19 game split,4.41,1.82,3.2,-2.58,,,,
