Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,66%,0%
1st,Deuce,Non-Slice,22,90%,70%
1st,Ad,Slice,2,100%,0%
1st,Ad,Non-Slice,23,91%,57%
2nd,Deuce,Slice,1,0%,NO DATA
2nd,Deuce,Non-Slice,14,92%,30%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,13,92%,50%
