Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,17.8,1.83,3.78,-4.41,176.54,122.62,124.5,118.75
7-12 game split,14.52,1.97,3.67,-4.36,171.25,118.6,120.7,115.32
13-18 game split,20.63,1.81,3.56,-4.07,175.13,127.63,126.47,125.17
19-24 game split,19.46,1.72,3.32,-4.17,171.15,129.36,124.65,122.75
25-30 game split,15.41,1.83,3.54,-4.07,174.84,123.32,121.71,116.91
31-36 game split,20.67,1.76,3.5,-4.19,172.24,124.44,124.9,123.64
37-37 game split,12.24,2.46,2.64,-4.99,,97.03,,
