Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,1,100%,0%
1st,Deuce,Non-Slice,12,83%,70%
1st,Ad,Slice,0,NO DATA,NO DATA
1st,Ad,Non-Slice,13,84%,72%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,5,80%,75%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,5,100%,60%
