Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.46,1.81,3.16,-3.9,198.17,134.58,119.1,111.72
7-12 game split,8.11,1.85,3.34,-4.06,196.29,125.62,104.59,95.52
13-15 game split,7.66,1.92,3.32,-3.66,205.58,126.77,122.28,113.56
