Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.43,2.27,15.23,-16.84,171.16,103.86,105.71,105.01
7-12 game split,7.82,1.88,16.32,-14.56,160.53,114.0,117.13,114.28
13-18 game split,10.47,2.25,18.61,-11.43,160.25,102.79,109.38,107.36
19-24 game split,8.84,2.28,16.11,-12.25,161.32,110.64,96.07,93.53
25-30 game split,8.3,2.16,14.67,-11.75,165.78,112.39,106.92,104.86
