Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,9,77%,42%
1st,Deuce,Non-Slice,28,71%,25%
1st,Ad,Slice,13,46%,50%
1st,Ad,Non-Slice,16,75%,50%
2nd,Deuce,Slice,1,100%,100%
2nd,Deuce,Non-Slice,24,79%,47%
2nd,Ad,Slice,2,50%,100%
2nd,Ad,Non-Slice,25,92%,69%
