Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
12-30 game split,11.0,2.09,3.38,-4.16,183.64,113.19,110.28,97.0
7-29 game split,11.85,2.01,3.52,-4.34,184.1,118.48,112.28,98.69
1-24 game split,11.54,1.96,3.49,-4.24,185.46,117.89,112.16,99.33
2-33 game split,11.44,2.01,3.43,-4.21,186.23,115.63,112.64,99.69
4-28 game split,11.53,1.98,3.51,-4.28,184.67,117.59,110.92,99.15
3-31 game split,11.4,2.02,3.46,-4.32,184.75,115.69,112.14,99.56
