Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Middle,24,70%,29%,41%
1st,Deuce,Back,0,NO DATA,NO DATA,NO DATA
1st,Ad,Up,14,92%,57%,61%
1st,Ad,Middle,13,69%,15%,22%
1st,Ad,Back,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Up,19,63%,42%,66%
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,2,100%,50%,50%
2nd,Ad,Up,18,88%,61%,62%
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,1,0%,0%,NO DATA
