Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.14,1.94,3.49,-3.84,178.78,137.92,126.97,120.34
7-12 game split,10.0,1.94,3.44,-4.31,190.84,132.29,125.12,114.41
13-18 game split,9.39,2.13,3.56,-4.57,192.2,125.05,129.02,125.59
19-24 game split,9.71,2.04,3.95,-4.72,192.96,122.77,124.17,124.17
25-26 game split,5.75,1.69,3.22,-5.53,187.48,112.1,131.17,131.17
