Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,11,63%,57%
1st,Deuce,Non-Slice,20,65%,61%
1st,Ad,Slice,5,100%,60%
1st,Ad,Non-Slice,24,79%,36%
2nd,Deuce,Slice,9,88%,37%
2nd,Deuce,Non-Slice,17,64%,63%
2nd,Ad,Slice,12,83%,50%
2nd,Ad,Non-Slice,13,69%,77%
