Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,11,90%,30%
1st,Deuce,Non-Slice,6,50%,100%
1st,Ad,Slice,6,66%,0%
1st,Ad,Non-Slice,7,14%,0%
2nd,Deuce,Slice,1,100%,100%
2nd,Deuce,Non-Slice,13,46%,83%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,7,85%,66%
