Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.65,2.13,3.85,-4.48,208.12,125.83,125.38,120.36
7-12 game split,10.23,2.05,3.28,-4.38,200.97,124.89,118.31,109.49
13-18 game split,11.87,2.01,3.77,-4.11,206.68,128.49,130.03,125.22
19-21 game split,9.45,2.15,3.42,-5.02,208.03,151.43,130.91,123.99
