Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.62,1.3,2.91,-4.21,148.29,122.26,117.74,110.37
7-12 game split,15.28,1.41,2.64,-3.5,150.11,117.89,116.98,113.37
13-18 game split,12.44,1.66,3.08,-4.61,160.04,107.59,113.65,109.12
19-24 game split,16.93,1.63,3.25,-4.65,169.06,112.37,117.16,116.12
25-30 game split,14.14,1.7,3.0,-4.48,171.22,115.6,116.75,106.74
31-35 game split,11.31,1.53,2.72,-4.1,162.99,110.08,114.21,108.48
