Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,8.27,2.03,2.95,-3.92,202.62,133.91,123.04,109.46
7-12 game split,8.42,1.97,3.45,-3.91,195.3,125.26,133.6,133.6
13-18 game split,6.15,1.92,2.83,-3.84,201.16,86.38,128.47,109.05
19-24 game split,13.9,2.23,3.52,-4.53,198.3,121.58,110.5,98.24
25-29 game split,10.26,2.12,3.92,-4.25,191.78,126.9,126.39,121.11
