Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,10.67,2.02,4.83,-6.61,204.22,132.95,129.89,120.84
7-12 game split,10.95,2.33,4.71,-6.91,203.73,124.1,128.75,116.39
13-18 game split,11.37,2.22,4.88,-5.81,202.49,128.07,130.04,119.58
19-24 game split,14.3,2.51,5.02,-6.57,189.76,116.32,131.93,123.68
25-30 game split,9.76,2.46,5.73,-6.93,191.11,114.83,132.9,106.73
31-32 game split,9.64,2.25,4.86,-7.05,199.4,132.81,,96.25
