Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,11.74,1.87,3.52,-4.02,169.94,113.32,115.11,115.11
7-12 game split,11.01,1.75,3.77,-3.96,163.38,120.72,120.37,120.37
13-15 game split,8.74,1.92,3.64,-4.38,161.06,115.37,115.86,109.33
