Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,2,100%,50%
1st,Deuce,Non-Slice,13,76%,60%
1st,Ad,Slice,0,NO DATA,NO DATA
1st,Ad,Non-Slice,14,85%,58%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,9,100%,66%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,8,87%,57%
