Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,14.32,2.06,4.46,-5.4,203.96,125.77,117.75,112.23
7-12 game split,16.67,2.0,4.38,-5.85,206.9,131.91,121.91,115.96
13-18 game split,21.56,1.85,4.62,-5.72,204.91,126.64,122.97,122.09
19-19 game split,1.46,,,,,,,
