Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
2-25 game split,11.63,2.12,3.56,-4.46,192.61,123.25,124.21,120.42
3-19 game split,12.58,2.11,3.54,-4.48,191.91,124.77,125.56,122.92
5-26 game split,12.22,2.14,3.61,-4.57,191.95,122.73,124.16,120.5
1-27 game split,11.88,2.08,3.53,-4.49,191.98,121.71,124.82,120.76
6-23 game split,12.4,2.12,3.58,-4.51,193.02,123.58,124.02,120.14
