Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,66%,0%
1st,Deuce,Non-Slice,18,88%,25%
1st,Ad,Slice,1,100%,0%
1st,Ad,Non-Slice,21,80%,58%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,14,100%,57%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,10,100%,40%
