Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,5.92,2.1,17.97,-14.64,158.19,123.07,123.47,123.47
7-12 game split,8.28,2.24,14.28,-12.83,159.41,122.31,111.2,111.2
13-18 game split,5.75,2.47,16.84,-14.98,152.14,121.9,117.92,116.44
19-24 game split,6.01,2.23,19.86,-11.67,157.91,123.47,122.73,122.73
25-30 game split,5.65,1.88,15.15,-17.28,154.76,125.0,137.61,125.42
31-36 game split,6.57,2.95,16.85,-16.18,,128.29,,115.39
