Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,6,83%,100%
1st,Deuce,Non-Slice,9,66%,66%
1st,Ad,Slice,1,100%,100%
1st,Ad,Non-Slice,12,91%,45%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,5,80%,50%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,5,100%,40%
