Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,13.58,2.29,3.35,-3.83,189.36,115.0,101.26,94.23
7-12 game split,13.26,1.89,3.58,-3.59,191.99,113.91,123.07,115.55
13-18 game split,12.38,1.9,3.49,-3.78,192.64,123.52,109.64,106.4
19-19 game split,16.47,2.16,3.71,-4.31,,126.69,116.71,105.64
