Serve,Court Side,Spin Type,Total Returns,Return In %,Win if In %
1st,Deuce,Slice,3,33%,100%
1st,Deuce,Non-Slice,10,30%,100%
1st,Ad,Slice,1,0%,NO DATA
1st,Ad,Non-Slice,10,60%,50%
2nd,Deuce,Slice,0,NO DATA,NO DATA
2nd,Deuce,Non-Slice,8,100%,50%
2nd,Ad,Slice,0,NO DATA,NO DATA
2nd,Ad,Non-Slice,8,62%,80%
